Date,Time,Source IP Address,Destination IP Address,Source Port,Destination Port
Jan 29,00:02:42,192.168.17.24,192.168.9.51,138,138
Jan 29,00:02:42,192.168.17.24,192.168.10.60,138,138
Jan 29,00:02:42,192.168.17.24,192.168.9.51,138,138
Jan 29,00:02:42,192.168.17.24,192.168.10.60,138,138
Jan 29,00:06:00,192.168.17.24,192.168.9.51,138,138
Jan 29,00:06:00,192.168.17.24,192.168.10.60,138,138
Jan 29,00:06:00,192.168.17.24,192.168.9.51,138,138
Jan 29,00:06:00,192.168.17.24,192.168.10.60,138,138
Jan 29,00:09:00,192.168.17.24,192.168.9.51,138,138
Jan 29,00:09:00,192.168.17.24,192.168.10.60,138,138
Jan 29,00:09:00,192.168.17.24,192.168.9.51,138,138
Jan 29,00:09:00,192.168.17.24,192.168.10.60,138,138
Jan 29,00:11:54,192.168.17.24,192.168.9.51,138,138
Jan 29,00:11:54,192.168.17.24,192.168.10.60,138,138
Jan 29,00:11:54,192.168.17.24,192.168.9.51,138,138
Jan 29,00:11:54,192.168.17.24,192.168.10.60,138,138
Jan 29,00:14:56,192.168.17.24,192.168.9.51,138,138
Jan 29,00:14:56,192.168.17.24,192.168.10.60,138,138
Jan 29,00:14:56,192.168.17.24,192.168.9.51,138,138
Jan 29,00:14:56,192.168.17.24,192.168.10.60,138,138
Jan 29,00:18:14,192.168.17.24,192.168.9.51,138,138
Jan 29,00:18:14,192.168.17.24,192.168.10.60,138,138
Jan 29,00:18:14,192.168.17.24,192.168.9.51,138,138
Jan 29,00:18:14,192.168.17.24,192.168.10.60,138,138
Jan 29,00:21:14,192.168.17.24,192.168.9.51,138,138
Jan 29,00:21:14,192.168.17.24,192.168.10.60,138,138
Jan 29,00:21:14,192.168.17.24,192.168.9.51,138,138
Jan 29,00:21:14,192.168.17.24,192.168.10.60,138,138
Jan 29,00:24:11,192.168.17.24,192.168.9.51,138,138
Jan 29,00:24:11,192.168.17.24,192.168.10.60,138,138
Jan 29,00:24:11,192.168.17.24,192.168.9.51,138,138
Jan 29,00:24:11,192.168.17.24,192.168.10.60,138,138
Jan 29,00:27:12,192.168.17.24,192.168.9.51,138,138
Jan 29,00:27:12,192.168.17.24,192.168.10.60,138,138
Jan 29,00:27:12,192.168.17.24,192.168.9.51,138,138
Jan 29,00:27:12,192.168.17.24,192.168.10.60,138,138
Jan 29,00:30:22,192.168.17.24,192.168.9.51,138,138
Jan 29,00:30:22,192.168.17.24,192.168.10.60,138,138
Jan 29,00:30:22,192.168.17.24,192.168.9.51,138,138
Jan 29,00:30:22,192.168.17.24,192.168.10.60,138,138
Jan 29,00:33:27,192.168.17.24,192.168.9.51,138,138
Jan 29,00:33:27,192.168.17.24,192.168.10.60,138,138
Jan 29,00:33:27,192.168.17.24,192.168.9.51,138,138
Jan 29,00:33:27,192.168.17.24,192.168.10.60,138,138
Jan 29,00:36:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:36:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:36:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:36:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:39:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:39:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:39:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:39:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:42:36,192.168.17.24,192.168.9.51,138,138
Jan 29,00:42:36,192.168.17.24,192.168.10.60,138,138
Jan 29,00:42:36,192.168.17.24,192.168.9.51,138,138
Jan 29,00:42:36,192.168.17.24,192.168.10.60,138,138
Jan 29,00:45:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:45:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:45:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:45:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:48:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:48:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:48:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:48:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:51:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:51:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:51:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:51:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:54:49,192.168.17.24,192.168.9.51,138,138
Jan 29,00:54:49,192.168.17.24,192.168.10.60,138,138
Jan 29,00:54:49,192.168.17.24,192.168.9.51,138,138
Jan 29,00:54:49,192.168.17.24,192.168.10.60,138,138
Jan 29,00:57:44,192.168.17.24,192.168.9.51,138,138
Jan 29,00:57:44,192.168.17.24,192.168.10.60,138,138
Jan 29,00:57:44,192.168.17.24,192.168.9.51,138,138
Jan 29,00:57:44,192.168.17.24,192.168.10.60,138,138
Jan 29,01:00:50,192.168.17.24,192.168.9.51,138,138
Jan 29,01:00:50,192.168.17.24,192.168.10.60,138,138
Jan 29,01:00:50,192.168.17.24,192.168.9.51,138,138
Jan 29,01:00:50,192.168.17.24,192.168.10.60,138,138
Jan 29,01:03:49,192.168.17.24,192.168.9.51,138,138
Jan 29,01:03:49,192.168.17.24,192.168.10.60,138,138
Jan 29,01:03:49,192.168.17.24,192.168.9.51,138,138
Jan 29,01:03:49,192.168.17.24,192.168.10.60,138,138
Jan 29,01:06:59,192.168.17.24,192.168.9.51,138,138
Jan 29,01:06:59,192.168.17.24,192.168.10.60,138,138
Jan 29,01:06:59,192.168.17.24,192.168.9.51,138,138
Jan 29,01:06:59,192.168.17.24,192.168.10.60,138,138
Jan 29,01:09:58,192.168.17.24,192.168.9.51,138,138
Jan 29,01:09:58,192.168.17.24,192.168.10.60,138,138
Jan 29,01:09:58,192.168.17.24,192.168.9.51,138,138
Jan 29,01:09:58,192.168.17.24,192.168.10.60,138,138
Jan 29,01:13:04,192.168.17.24,192.168.9.51,138,138
Jan 29,01:13:04,192.168.17.24,192.168.10.60,138,138
Jan 29,01:13:04,192.168.17.24,192.168.9.51,138,138
Jan 29,01:13:04,192.168.17.24,192.168.10.60,138,138
Jan 29,01:16:04,192.168.17.24,192.168.9.51,138,138
Jan 29,01:16:04,192.168.17.24,192.168.10.60,138,138
Jan 29,01:16:04,192.168.17.24,192.168.9.51,138,138
Jan 29,01:16:04,192.168.17.24,192.168.10.60,138,138
Jan 29,01:19:13,192.168.17.24,192.168.9.51,138,138
Jan 29,01:19:13,192.168.17.24,192.168.10.60,138,138
Jan 29,01:19:13,192.168.17.24,192.168.9.51,138,138
Jan 29,01:19:13,192.168.17.24,192.168.10.60,138,138
Jan 29,01:22:11,192.168.17.24,192.168.9.51,138,138
Jan 29,01:22:11,192.168.17.24,192.168.10.60,138,138
Jan 29,01:22:11,192.168.17.24,192.168.9.51,138,138
Jan 29,01:22:11,192.168.17.24,192.168.10.60,138,138
Jan 29,01:25:18,192.168.17.24,192.168.9.51,138,138
Jan 29,01:25:18,192.168.17.24,192.168.10.60,138,138
Jan 29,01:25:18,192.168.17.24,192.168.9.51,138,138
Jan 29,01:25:18,192.168.17.24,192.168.10.60,138,138
Jan 29,01:28:14,192.168.17.24,192.168.9.51,138,138
Jan 29,01:28:14,192.168.17.24,192.168.10.60,138,138
Jan 29,01:28:14,192.168.17.24,192.168.9.51,138,138
Jan 29,01:28:14,192.168.17.24,192.168.10.60,138,138
Jan 29,01:31:14,192.168.17.24,192.168.9.51,138,138
Jan 29,01:31:14,192.168.17.24,192.168.10.60,138,138
Jan 29,01:31:14,192.168.17.24,192.168.9.51,138,138
Jan 29,01:31:14,192.168.17.24,192.168.10.60,138,138
Jan 29,01:34:21,192.168.17.24,192.168.9.51,138,138
Jan 29,01:34:21,192.168.17.24,192.168.10.60,138,138
Jan 29,01:34:21,192.168.17.24,192.168.9.51,138,138
Jan 29,01:34:21,192.168.17.24,192.168.10.60,138,138
Jan 29,01:37:31,192.168.17.24,192.168.9.51,138,138
Jan 29,01:37:31,192.168.17.24,192.168.10.60,138,138
Jan 29,01:37:31,192.168.17.24,192.168.9.51,138,138
Jan 29,01:37:31,192.168.17.24,192.168.10.60,138,138
Jan 29,01:40:26,192.168.17.24,192.168.9.51,138,138
Jan 29,01:40:26,192.168.17.24,192.168.10.60,138,138
Jan 29,01:40:26,192.168.17.24,192.168.9.51,138,138
Jan 29,01:40:26,192.168.17.24,192.168.10.60,138,138
Jan 29,01:43:27,192.168.17.24,192.168.9.51,138,138
Jan 29,01:43:27,192.168.17.24,192.168.10.60,138,138
Jan 29,01:43:27,192.168.17.24,192.168.9.51,138,138
Jan 29,01:43:27,192.168.17.24,192.168.10.60,138,138
Jan 29,01:46:36,192.168.17.24,192.168.9.51,138,138
Jan 29,01:46:36,192.168.17.24,192.168.10.60,138,138
Jan 29,01:46:36,192.168.17.24,192.168.9.51,138,138
Jan 29,01:46:36,192.168.17.24,192.168.10.60,138,138
Jan 29,01:49:34,192.168.17.24,192.168.9.51,138,138
Jan 29,01:49:34,192.168.17.24,192.168.10.60,138,138
Jan 29,01:49:34,192.168.17.24,192.168.9.51,138,138
Jan 29,01:49:34,192.168.17.24,192.168.10.60,138,138
Jan 29,01:52:40,192.168.17.24,192.168.9.51,138,138
Jan 29,01:52:40,192.168.17.24,192.168.10.60,138,138
Jan 29,01:52:40,192.168.17.24,192.168.9.51,138,138
Jan 29,01:52:40,192.168.17.24,192.168.10.60,138,138
Jan 29,01:55:35,192.168.17.24,192.168.9.51,138,138
Jan 29,01:55:35,192.168.17.24,192.168.10.60,138,138
Jan 29,01:55:35,192.168.17.24,192.168.9.51,138,138
Jan 29,01:55:35,192.168.17.24,192.168.10.60,138,138
Jan 29,01:58:36,192.168.17.24,192.168.9.51,138,138
Jan 29,01:58:36,192.168.17.24,192.168.10.60,138,138
Jan 29,01:58:36,192.168.17.24,192.168.9.51,138,138
Jan 29,01:58:36,192.168.17.24,192.168.10.60,138,138
Jan 29,02:01:54,192.168.17.24,192.168.9.51,138,138
Jan 29,02:01:54,192.168.17.24,192.168.10.60,138,138
Jan 29,02:01:54,192.168.17.24,192.168.9.51,138,138
Jan 29,02:01:54,192.168.17.24,192.168.10.60,138,138
Jan 29,02:04:54,192.168.17.24,192.168.9.51,138,138
Jan 29,02:04:54,192.168.17.24,192.168.10.60,138,138
Jan 29,02:04:54,192.168.17.24,192.168.9.51,138,138
Jan 29,02:04:54,192.168.17.24,192.168.10.60,138,138
Jan 29,02:07:53,192.168.17.24,192.168.9.51,138,138
Jan 29,02:07:53,192.168.17.24,192.168.10.60,138,138
Jan 29,02:07:53,192.168.17.24,192.168.9.51,138,138
Jan 29,02:07:53,192.168.17.24,192.168.10.60,138,138
Jan 29,02:11:03,192.168.17.24,192.168.9.51,138,138
Jan 29,02:11:03,192.168.17.24,192.168.10.60,138,138
Jan 29,02:11:03,192.168.17.24,192.168.9.51,138,138
Jan 29,02:11:03,192.168.17.24,192.168.10.60,138,138
Jan 29,02:14:08,192.168.17.24,192.168.9.51,138,138
Jan 29,02:14:08,192.168.17.24,192.168.10.60,138,138
Jan 29,02:14:08,192.168.17.24,192.168.9.51,138,138
Jan 29,02:14:08,192.168.17.24,192.168.10.60,138,138
Jan 29,02:17:08,192.168.17.24,192.168.9.51,138,138
Jan 29,02:17:08,192.168.17.24,192.168.10.60,138,138
Jan 29,02:17:08,192.168.17.24,192.168.9.51,138,138
Jan 29,02:17:08,192.168.17.24,192.168.10.60,138,138
Jan 29,02:20:04,192.168.17.24,192.168.9.51,138,138
Jan 29,02:20:04,192.168.17.24,192.168.10.60,138,138
Jan 29,02:20:04,192.168.17.24,192.168.9.51,138,138
Jan 29,02:20:04,192.168.17.24,192.168.10.60,138,138
Jan 29,02:23:04,192.168.17.24,192.168.9.51,138,138
Jan 29,02:23:04,192.168.17.24,192.168.10.60,138,138
Jan 29,02:23:04,192.168.17.24,192.168.9.51,138,138
Jan 29,02:23:04,192.168.17.24,192.168.10.60,138,138
Jan 29,02:26:22,192.168.17.24,192.168.9.51,138,138
Jan 29,02:26:22,192.168.17.24,192.168.10.60,138,138
Jan 29,02:26:22,192.168.17.24,192.168.9.51,138,138
Jan 29,02:26:22,192.168.17.24,192.168.10.60,138,138
Jan 29,02:29:21,192.168.17.24,192.168.9.51,138,138
Jan 29,02:29:21,192.168.17.24,192.168.10.60,138,138
Jan 29,02:29:21,192.168.17.24,192.168.9.51,138,138
Jan 29,02:29:21,192.168.17.24,192.168.10.60,138,138
Jan 29,02:32:18,192.168.17.24,192.168.9.51,138,138
Jan 29,02:32:18,192.168.17.24,192.168.10.60,138,138
Jan 29,02:32:18,192.168.17.24,192.168.9.51,138,138
Jan 29,02:32:18,192.168.17.24,192.168.10.60,138,138
Jan 29,02:35:18,192.168.17.24,192.168.9.51,138,138
Jan 29,02:35:18,192.168.17.24,192.168.10.60,138,138
Jan 29,02:35:18,192.168.17.24,192.168.9.51,138,138
Jan 29,02:35:18,192.168.17.24,192.168.10.60,138,138
Jan 29,02:38:36,192.168.17.24,192.168.9.51,138,138
Jan 29,02:38:36,192.168.17.24,192.168.10.60,138,138
Jan 29,02:38:36,192.168.17.24,192.168.9.51,138,138
Jan 29,02:38:36,192.168.17.24,192.168.10.60,138,138
Jan 29,02:41:34,192.168.17.24,192.168.9.51,138,138
Jan 29,02:41:34,192.168.17.24,192.168.10.60,138,138
Jan 29,02:41:34,192.168.17.24,192.168.9.51,138,138
Jan 29,02:41:34,192.168.17.24,192.168.10.60,138,138
Jan 29,02:44:30,192.168.17.24,192.168.9.51,138,138
Jan 29,02:44:30,192.168.17.24,192.168.10.60,138,138
Jan 29,02:44:30,192.168.17.24,192.168.9.51,138,138
Jan 29,02:44:30,192.168.17.24,192.168.10.60,138,138
Jan 29,02:47:31,192.168.17.24,192.168.9.51,138,138
Jan 29,02:47:31,192.168.17.24,192.168.10.60,138,138
Jan 29,02:47:31,192.168.17.24,192.168.9.51,138,138
Jan 29,02:47:31,192.168.17.24,192.168.10.60,138,138
Jan 29,02:50:40,192.168.17.24,192.168.9.51,138,138
Jan 29,02:50:40,192.168.17.24,192.168.10.60,138,138
Jan 29,02:50:40,192.168.17.24,192.168.9.51,138,138
Jan 29,02:50:40,192.168.17.24,192.168.10.60,138,138
Jan 29,02:53:44,192.168.17.24,192.168.9.51,138,138
Jan 29,02:53:44,192.168.17.24,192.168.10.60,138,138
Jan 29,02:53:44,192.168.17.24,192.168.9.51,138,138
Jan 29,02:53:44,192.168.17.24,192.168.10.60,138,138
Jan 29,02:56:43,192.168.17.24,192.168.9.51,138,138
Jan 29,02:56:43,192.168.17.24,192.168.10.60,138,138
Jan 29,02:56:43,192.168.17.24,192.168.9.51,138,138
Jan 29,02:56:43,192.168.17.24,192.168.10.60,138,138
Jan 29,02:59:39,192.168.17.24,192.168.9.51,138,138
Jan 29,02:59:39,192.168.17.24,192.168.10.60,138,138
Jan 29,02:59:39,192.168.17.24,192.168.9.51,138,138
Jan 29,02:59:39,192.168.17.24,192.168.10.60,138,138
Jan 29,03:02:40,192.168.17.24,192.168.9.51,138,138
Jan 29,03:02:40,192.168.17.24,192.168.10.60,138,138
Jan 29,03:02:40,192.168.17.24,192.168.9.51,138,138
Jan 29,03:02:40,192.168.17.24,192.168.10.60,138,138
Jan 29,03:05:58,192.168.17.24,192.168.9.51,138,138
Jan 29,03:05:58,192.168.17.24,192.168.10.60,138,138
Jan 29,03:05:58,192.168.17.24,192.168.9.51,138,138
Jan 29,03:05:58,192.168.17.24,192.168.10.60,138,138
Jan 29,03:08:57,192.168.17.24,192.168.9.51,138,138
Jan 29,03:08:57,192.168.17.24,192.168.10.60,138,138
Jan 29,03:08:57,192.168.17.24,192.168.9.51,138,138
Jan 29,03:08:57,192.168.17.24,192.168.10.60,138,138
Jan 29,03:11:53,192.168.17.24,192.168.9.51,138,138
Jan 29,03:11:53,192.168.17.24,192.168.10.60,138,138
Jan 29,03:11:53,192.168.17.24,192.168.9.51,138,138
Jan 29,03:11:53,192.168.17.24,192.168.10.60,138,138
Jan 29,03:14:54,192.168.17.24,192.168.9.51,138,138
Jan 29,03:14:54,192.168.17.24,192.168.10.60,138,138
Jan 29,03:14:54,192.168.17.24,192.168.9.51,138,138
Jan 29,03:14:54,192.168.17.24,192.168.10.60,138,138
Jan 29,03:18:12,192.168.17.24,192.168.9.51,138,138
Jan 29,03:18:12,192.168.17.24,192.168.10.60,138,138
Jan 29,03:18:12,192.168.17.24,192.168.9.51,138,138
Jan 29,03:18:12,192.168.17.24,192.168.10.60,138,138
Jan 29,03:21:09,192.168.17.24,192.168.9.51,138,138
Jan 29,03:21:09,192.168.17.24,192.168.10.60,138,138
Jan 29,03:21:09,192.168.17.24,192.168.9.51,138,138
Jan 29,03:21:09,192.168.17.24,192.168.10.60,138,138
Jan 29,03:24:08,192.168.17.24,192.168.9.51,138,138
Jan 29,03:24:08,192.168.17.24,192.168.10.60,138,138
